name,city,website,body_comp_score,bone_density_score,blut_score,enrichment_status
Biocontrol Ihr Laborpartner in der Tiermedizin,Ingelheim am Rhein,https://www.biocontrol.de,0,0,0,success
IMD Humangenetik Wiesbaden,Wiesbaden,https://humangenetik-wi.de,0,0,0,success
MVZ Gerinnungszentrum Hochtaunus,Bad Homburg vor der Höhe,http://www.gerinnungszentrum-hochtaunus.de,0,0,0,success
Dr.med. Ralf Kirkamm,Mainz,http://www.dr-kirkamm.de,0,0,0,success
labopart - Medizinisches Labor Dresden,Dresden,https://labopart.de/unser-labor/standorte/#labordresden,0,0,0,success
MVZ Labor Dr. Reising-Ackermann und Kollegen Dresden Medizinisches Versorgungszentrum,Dresden,https://www.labordresden.de/kontakt/unsere-standorte,0,0,0,success
labopart - Labor Elsterwerda,Elsterwerda,https://labopart.de/unser-labor/standorte,0,0,0,success
Labor Staber Klipphausen,Klipphausen,http://www.labor-staber.de,0,0,3,success
diagnosticum,Dresden,https://www.diagnosticum.eu/labormedizin-ueberblick/standorte/dresden,0,0,0,success
Labor für Mikrobiologie und Hygiene,Hoyerswerda,https://www.labor-hygiene.de,0,0,0,success
"Labor für Mikrobiologie und Hygiene, Dr. Catrin Kuchler",Hoyerswerda,https://www.labor-hygiene.de,0,0,0,success
Elblab GmbH,Riesa,https://www.elblandkliniken.de/labor,0,0,0,success
Laborgemeinschaft Elsterwerdaer Ärzte,Elsterwerda,https://www.google.com/maps/search/?api=1&query=Laborgemeinschaft%20Elsterwerdaer%20%C3%84rzte&query_place_id=ChIJYe35ASKJp0cRanpwaKP9JTw,0,0,0,success
MVZ Labor Dresden Bayreuther Straße GmbH,Dresden,https://www.google.com/maps/search/?api=1&query=MVZ%20Labor%20Dresden%20Bayreuther%20Stra%C3%9Fe%20GmbH&query_place_id=ChIJr9IKxJHFCUcRSqhb9Sw_B44,0,0,0,success
Institut für Medizinische Mikrobiologie und Hygiene,Dresden,https://www.google.com/maps/search/?api=1&query=Institut%20f%C3%BCr%20Medizinische%20Mikrobiologie%20und%20Hygiene&query_place_id=ChIJ8ypS2cnICUcRPcVp7yS-TuQ,0,0,0,success
Labor für Wasser und Umwelt GmbH,Bad Liebenwerda,http://www.lwu-lib.de,0,0,0,failed
Medizinisches Labor Ostsachsen MVZ eGbR,Bautzen,https://www.labor-ostsachsen.de,0,0,0,success
Krankenhaus St. Joseph-Stift Dresden,Dresden,https://www.josephstift-dresden.de,0,0,0,success
labopart - Medizinisches Labor Chemnitz,Chemnitz,https://www.labopart.de/unser-labor/standorte/#laborchemnitz,0,0,0,success
Klinikum Darmstadt Institut : Labormedizin,Darmstadt,https://klinikum-darmstadt.de/qualitaet-sicherheit/zentrum-fuer-labormedizin,0,0,0,success
Bioscientia Labor Wermsdorf,Wermsdorf,https://www.bioscientia.de/standorte/wermsdorf,0,0,0,success
MVZ Offenbach - Labordiagnostik,Offenbach am Main,https://www.sana.de/offenbach/medizin-pflege/standard-titel,0,0,0,success
test.net GmbH - Testlabor,Offenbach am Main,https://www.google.com/maps/search/?api=1&query=test.net%20GmbH%20-%20Testlabor&query_place_id=ChIJe56OACF1vUcRxC4uB94ZeKc,0,0,0,success
ON FILM LAB,Frankfurt am Main,https://onfilmlab.de,0,0,0,success
MVZ Rhein-Main-Zentrum für Diagnostik GmbH,Weiterstadt,https://dieradiologen-da.de,0,0,0,success
Centrum f. Hämatologie und Onkologie Bethanien,Frankfurt am Main,http://www.onkologie-bethanien.de,0,0,0,success
Euro-labor GmbH,Freiburg im Breisgau,http://www.euro-labor-freiburg.de,0,0,0,success
MVZ Laborverbund GmbH Zweigpraxis Rüdersdorf,Rüdersdorf bei Berlin,https://ladr.de/fachlabore/ruedersdorf/kontakt,0,0,0,success
COAGUMED Gerinnungszentrum,Berlin,https://gerinnungszentrum-berlin.de,0,0,0,success
Gerinnungssprechstunde Hausvogteiplatz,Berlin,https://www.medicover.de/de/facilities/medicover-berlin-mitte-mvz/behandlungsbereiche/haemostaseologie,0,0,0,success
"MVZ AnthroNUK, Berliner Zentrum für Nuklearmedizin und Schilddrüsentherapie",Berlin,http://anthronuk.de,0,0,0,success
Medicover Berlin-Mitte MVZ,Berlin,http://www.medicover.de/de/facilities/medicover-berlin-mitte-mvz,0,0,1,success
MEDICOVER Berlin-Charlottenburg MVZ,Berlin,http://www.medicover.de/de/facilities/medicover-charlottenburg-mvz,0,0,0,success
Pränatale Diagnostik Berlin-Lichtenberg,Berlin,http://www.pd-bl.de,0,0,0,success
MVZ MED ON Schmerz-Centrum Berlin,Berlin,https://www.dr-immler.de,0,0,0,success
MVZ BeRaNuk GmbH – Nuklearmedizin,Berlin,http://www.beranuk.de,0,0,0,success
medienrettung,Berlin,https://www.medienrettung.de,0,0,0,success
Überörtliche Berufsausübungsgmeinschaft MVZ DTZ am Frankfurter Tor/ MVZ DTZ am OZB Onkozentrum Berlin,Berlin,http://www.berlin-dtz.de,0,0,0,success
endokrinologikum Berlin im Lindencorso,Berlin,https://www.endokrinologikum-berlin.de,0,0,0,success
Medicover Uhlandstrasse,Berlin,https://www.medicover.de/de/facilities/medicover-berlin-uhlandstrasse-mvz/about,0,0,0,success
Labor Becker (Landshut),Landshut,http://www.labor-becker.de,0,0,0,success
Klinikum des Landkreises Deggendorf Institut für Laboratoriumsdiagnostik und Transfusionsmedizin,Deggendorf,https://www.donau-isar-klinikum.de/kliniken-institute/deggendorf/institut-fr-laboratoriumsdiagnostik-lmmunhmatologie-und-mikrobio/index.html,0,0,0,success
Medizinisches Analysezentrum Labor,Parchim,https://www.ladr.de,0,2,0,success
